Gene	coef	exp(coef)	se(coef)	z	cox.pval	surv.pval	surv.pval
A2M	-8.88410147201566e-06	0.999991115937992	6.10145127107262e-06	-1.45606366048284	0.145375022084289	0.05	0.05
A2ML1	2.2296001167526e-05	1.00002229624973	6.46853405049927e-05	0.344683988573966	0.73033195657747	0.172	0.172
ABCA1	0.000260133501565242	1.00026016733922	0.000145097053211837	1.79282415326143	0.0730010461403474	0.246	0.246
ABCA10	-0.00372155324364914	0.99628536315305	0.00256470994587693	-1.45106203905512	0.146762585781676	0.107	0.107
ABCA12	5.37308009287146e-05	1.00005373224445	5.59704682981586e-05	0.959984837762781	0.337062845971602	0.177	0.177
ABCA4	-0.000477777870122266	0.999522336247549	0.0005132704277903	-0.930850180048686	0.351931068368022	0.972	0.972
ABCA6	-0.000522317301909004	0.999477819082027	0.000709262766935813	-0.736422841093917	0.461473408404721	0.495	0.495
ABCA8	-0.0003657513812283	0.999634315497654	0.000394372940986273	-0.927425143098322	0.353705841219149	0.194	0.194
ABCA9	-0.0009165158719917	0.999083904000397	0.00074693188207877	-1.22704077035909	0.219807267619799	0.475	0.475
ABCB1	-0.00078579090340544	0.999214517749416	0.000778871283696078	-1.00888416334535	0.31303019108134	0.04	0.04
ABCB4	-0.00217415823378457	0.997828203536298	0.00378892436561647	-0.573819380907813	0.56609003229017	0.62	0.62
ABCC2	0.000226702844942086	1.00022672854397	0.000249112885875165	0.910040619318627	0.362801088522305	0.015	0.015
ABCC3	-5.11624863862925e-05	0.999948838822391	9.01698610759471e-05	-0.567401188998173	0.570441642262445	0.264	0.264
ABCC6	0.000489885292825013	1.00049000530622	0.000670963572294711	0.73012204097697	0.465315589789434	0.537	0.537
ABCC6P1	0.0155132930710545	1.01563424886681	0.00486348257074536	3.18974990562718	0.00142395963799635	0.458	0.458
ABCC6P2	-0.00134357315857554	0.998657329031743	0.00292598706466755	-0.459186294703665	0.646100391619571	0.548	0.548
ABCC8	-4.9159335559534e-05	0.999950841872741	0.00024358057269229	-0.201819607434933	0.840057752435024	0.716	0.716
ABCC9	0.000170521010998855	1.00017053555053	0.000266401895653282	0.640089330373181	0.522114525179194	0.418	0.418
ABCD2	-0.00458394062830603	0.995426549592565	0.00296158804776477	-1.54779819285323	0.121670891740804	0.033	0.033
ABCG1	-1.25222474834894e-05	0.99998747783092	0.000110723789545187	-0.113094462670816	0.909955664976521	0.59	0.59
ABCG2	-0.000365284380955679	0.999634782327261	0.000768757720285259	-0.475161902530403	0.634671579303092	0.951	0.951
ABI3	-0.000268619045424977	0.999731417029441	0.000603303779580519	-0.445246747188869	0.656141447350138	0.952	0.952
ABLIM1	3.9379421715749e-05	1.0000393801971	5.59683588485071e-05	0.70360150852984	0.481680971651468	0.082	0.082
ABLIM3	8.19714678609083e-05	1.00008197482761	0.000116173957808146	0.705592452968497	0.480441618947995	0.823	0.823
ABP1	9.77056090299037e-05	1.00009771038238	0.000134367710810183	0.727150953460312	0.467133487910738	0.194	0.194
ABTB1	-0.000353779219288671	0.9996462833532	0.000336796345217368	-1.05042475760935	0.293522867923036	0.701	0.701
ACAA2	-5.26844922329552e-05	0.99994731689557	0.000154343057944784	-0.341346691807823	0.732842601355726	0.465	0.465
ACADL	-0.00499129543496708	0.995021140381212	0.00326958901417274	-1.52658190779674	0.126865008713188	0.075	0.075
ACAP1	-0.00104111641492125	0.998959425358741	0.000473465496719492	-2.198927740532	0.0278830607495553	0.03	0.03
ACCS	-0.000739703047948544	0.999260570464907	0.000691679018034857	-1.06943109254655	0.284875463204052	0.301	0.301
ACE2	4.15447432887192e-05	1.00004154560628	8.17826252891342e-05	0.507989846765642	0.611460463667381	0.487	0.487
ACHE	-0.000362027934089717	0.999638037590115	0.000550172387210079	-0.658026361383853	0.510521192162596	0.816	0.816
ACMSD	-0.00230450688072715	0.997698146456652	0.00215973283293888	-1.06703331337111	0.285956793054688	0.473	0.473
ACOT1	-0.000492579100013929	0.999507542197154	0.000217208687835111	-2.26776886745829	0.0233432978706289	0.024	0.024
ACOT11	-0.000117734763334358	0.999882272167131	0.00091801389174407	-0.128249435431399	0.897951579232559	0.434	0.434
ACOT6	-0.00646236215607958	0.993558473998486	0.0108188988608526	-0.597321616478289	0.550292674982483	0.565	0.565
ACRBP	-0.0052094777470824	0.994804068049733	0.00416492150282764	-1.25079854291266	0.211007986638462	0.421	0.421
ACSM1	1.95007934815263e-05	1.00001950098362	3.38586543009985e-05	0.575947091935998	0.564650943799551	0.122	0.122
ACSM3	-0.000151960025626543	0.999848051519713	0.00114157068484147	-0.133114863270727	0.894102540567046	0.307	0.307
ACSS1	-9.7793504654766e-05	0.999902211276974	9.87446398339701e-05	-0.990367728508572	0.321994413140273	0.312	0.312
ACTA1	3.46099055369831e-05	1.00003461050447	3.1918953758531e-05	1.08430576386712	0.278229250539392	0.592	0.592
ACTBL2	-0.00573928449947081	0.994277153730884	0.0103084171540918	-0.556757105739813	0.577693394367383	0.736	0.736
ACTC1	0.000288735203019024	1.00028877689104	0.000219366616012088	1.3162221684776	0.188099485182754	0.066	0.066
ACTL9	-1.35817224598726	0.257130318691228	1.33728969942737	-1.01561557422361	0.309812485486755	NaN	NaN
ADA	-0.000172789363966905	0.999827225563255	0.000662401749012413	-0.260852819643849	0.7942060098958	0.749	0.749
ADAD2	-0.0049788706978063	0.995033503334154	0.0164006387291941	-0.303577853278581	0.761449526271673	0.921	0.921
ADAM18	-0.0124549856423626	0.987622256674763	0.0308178062237132	-0.404149002428956	0.68610315251391	NaN	NaN
ADAM19	8.25356550104576e-05	1.00008253906117	0.000199063940701329	0.414618814033689	0.678420973104255	0.442	0.442
ADAM2	-0.000356751166873335	0.999643312461257	0.00158794781384648	-0.224661770218493	0.822242407279133	NaN	NaN
ADAM23	0.000299277013641045	1.00029932180147	0.0020500947844898	0.145982037467367	0.883935568533653	0.914	0.914
ADAM28	0.000512506402257614	1.0005126377561	0.000489655407455083	1.04666750219567	0.295252957109897	0.118	0.118
ADAM29	-0.00471258684018519	0.995298499974482	0.00388348748192018	-1.21349350606251	0.224941195694675	0.033	0.033
ADAMTS10	1.87611030711185e-05	1.00001876127906	0.000716432429329142	0.0261868423358308	0.979108310579828	0.99	0.99
ADAMTS13	0.00080986529227287	1.00081019332172	0.00111606845656236	0.725641234201137	0.468058736041838	0.956	0.956
ADAMTS14	0.000890695316707131	1.00089109210358	0.000611830940367605	1.45578665271811	0.14545160661883	0.586	0.586
ADAMTS16	2.28965720928279e-05	1.00002289683422	0.000318000555527346	0.0720016732513504	0.942600576247396	0.252	0.252
ADAMTS18	-0.00111523701856557	0.998885384627123	0.00104963809387819	-1.06249670726507	0.288010252031864	0.079	0.079
ADAMTS19	0.000186766551202645	1.00018678399316	0.00100019415640664	0.186730296319301	0.851872100848687	0.855	0.855
ADAMTS20	0.00917653818918185	1.00921877170272	0.00539760848738049	1.70011185706344	0.089109887410235	NaN	NaN
ADAMTS3	-0.00132197932754151	0.998678894102202	0.0012050146755979	-1.09706491905219	0.272613014228494	0.556	0.556
ADAMTS4	2.61999722813805e-05	1.0000262003155	0.000100243525101906	0.261363237722795	0.793812404021954	0.334	0.334
ADAMTS6	-1.52843379290692e-05	0.999984715778876	0.00136739020511585	-0.0111777441961231	0.99108163619468	0.839	0.839
ADAMTS9	-0.000232604585184379	0.999767422465165	0.000240216305298547	-0.968313058080269	0.332888045220187	0.377	0.377
ADAMTSL1	0.000777821096856539	1.00077812367813	0.000287476089877316	2.70568970514551	0.00681627035580823	0.156	0.156
ADAMTSL5	-0.00166318581599358	0.998338196511074	0.00112619092854907	-1.47682402142623	0.139722815686172	0.194	0.194
ADCY1	-1.47367953605363e-05	0.999985263313225	3.33971247929484e-05	-0.441259403373786	0.659025212457824	0.038	0.038
ADCY2	0.000144282623007575	1.00014429303225	0.000244557179092839	0.589975005202372	0.555207406802654	0.836	0.836
ADCY4	-0.00058037438033635	0.999419794004297	0.000619480500954859	-0.936872717449167	0.348824034543393	0.175	0.175
ADCY5	4.99427269045855e-05	1.00004994397406	0.000281435335724326	0.177457200873688	0.859149280387932	0.328	0.328
ADCY7	0.0001503855124326	1.0001503968209	0.00018930633988511	0.794402937185668	0.426960894821701	0.719	0.719
ADD3	-4.63596024812857e-06	0.999995364050498	7.05925921944569e-05	-0.0656720500553116	0.947638925185961	0.893	0.893
ADH1C	-0.000132786612621049	0.999867222203131	0.00105291910452706	-0.126112834357482	0.899642608238406	0.468	0.468
ADH7	-0.05246645702288	0.948886148988382	0.0578155164684085	-0.907480555873762	0.364152727263081	NaN	NaN
ADHFE1	-0.00296961236199635	0.997034792575396	0.00139942213753333	-2.12202757291713	0.0338354226688222	0.006	0.006
ADIPOR1	3.53868132316264e-05	1.00003538743935	4.74985318416835e-05	0.745008568887425	0.456266539750327	0.831	0.831
ADORA2B	0.00108258458176524	1.00108317078797	0.000908555473506027	1.19154483499797	0.23343976656562	0.058	0.058
ADPRH	-0.00157576364442747	0.998425477219249	0.000728098660864561	-2.16421719902131	0.0304476839202832	0.024	0.024
ADRB1	-0.00392249086492619	0.996085192053691	0.00181417805589372	-2.16213113822163	0.0306080695104072	0.01	0.01
ADRB2	-0.00243663167996017	0.997566334497362	0.00166822805611137	-1.46061065873688	0.14412231951443	0.332	0.332
AFAP1L1	-2.73789807323191e-05	0.999972621394069	0.000542670535765622	-0.0504523074828296	0.959761954083572	0.722	0.722
