coef	exp(coef)	se(coef)	z	cox.pval
ACTB	1.06984340078267e-07	1.00000010698435	1.89584965431511e-06	0.056430814455546	0.954998609673003
AGPAT3	7.42373257231505e-05	1.00007424008138	9.14640488860763e-05	0.811655799489233	0.416989163522386
AHR	4.94182618613456e-07	1.00000049418274	6.00267297387668e-05	0.00823270934072392	0.993431322524969
ALS2CL	-0.000170752781665837	0.999829261795761	0.000497547132786514	-0.34318915820002	0.731456160454374
ANXA2P2	4.66120718478989e-05	1.00004661315821	3.64632491214104e-05	1.27833018096375	0.201133030458797
ANXA8	-8.44660477988262e-05	0.999915537519357	0.000111650794174219	-0.756519901390275	0.449337544931321
ARHGAP12	0.000162550948785134	1.00016256416091	0.000121670574060101	1.33599228935041	0.181551793580034
ARHGAP5	5.93965085162414e-05	1.00005939827252	5.88936129673358e-05	1.00853905073177	0.313195750453441
ATP8A1	0.000126603482001551	1.00012661149656	0.000212821141501532	0.594882073784194	0.551922300727055
ATP8B1	-2.61112538302603e-05	0.999973889087066	5.51023804162908e-05	-0.473867982344745	0.635594052361802
BCAS1	-7.80536722697617e-06	0.999992194663235	5.75489271509934e-05	-0.135630108385807	0.892113702333328
BNIP3L	-2.719029256287e-05	0.99997281007709	6.64167275956851e-05	-0.409389223877337	0.682254046583819
C18orf54	0.000937017391105172	1.00093745652905	0.000755802314701173	1.23976517785031	0.21506226153451
C1GALT1	0.00015571465533194	1.00015572677949	0.000261481709444439	0.595508785921514	0.551503427982713
CAGE1	-0.00418255845688833	0.995826176258672	0.011445426747614	-0.36543490680767	0.714786788436649
CAMK2N1	1.37837751857455e-05	1.00001378387018	6.33575976357448e-05	0.217555205691212	0.827775689128949
CAPN13	4.13288573627353e-05	1.00004132971141	0.000109781455791525	0.37646483246878	0.706571355372164
CDKN2B	-7.31898454941451e-05	0.999926812832817	0.000153003855917824	-0.478352947741751	0.632399016883883
CENPV	0.000188412093572639	1.00018842984425	0.000268568899381047	0.701540997512592	0.482965458621671
CHCHD4	0.000994561458126923	1.00099505619838	0.000541491739148177	1.83670661290507	0.0662532185096418
CPEB2	-7.61048706974046e-05	0.999923898025205	0.000110428909072985	-0.689175247100423	0.490712991737985
CRIM1	4.82763555302076e-06	1.00000482764721	4.79921730556366e-05	0.100592143377716	0.919874233747124
CTNND2	-3.8852376541351e-05	0.999961148378202	0.000201202784439551	-0.193100590777479	0.84688018999076
DYNLRB1	2.02646130917247e-05	1.00002026481842	4.42427205684861e-05	0.458032707558203	0.646928943032019
ENTPD3	-0.000239147427949374	0.999760881165517	0.000465483929391331	-0.513760868741665	0.607419189662554
EPAS1	1.14127013488441e-05	1.00001141276647	3.82642349974072e-05	0.298260277505022	0.765504519232861
EPM2AIP1	9.10955572912025e-05	1.00009109970662	0.000163299694037414	0.557842792224285	0.576951738928367
EZH1	-0.000461939156978924	0.999538167520487	0.000295821092216738	-1.56154908873258	0.118394251031919
FAM134C	-8.95191715810149e-05	0.99991048483514	9.66924464075835e-05	-0.925813493265737	0.354542913668968
FAM20C	7.04242224769935e-05	1.00007042670232	6.33328554408339e-05	1.11196979808978	0.266151136166801
FAM84A	2.23347182448805e-05	1.00002233496767	0.000153890526922924	0.145133808373187	0.884605225654249
FOSL2	-7.25333710535686e-06	0.9999927466892	8.10440447112729e-05	-0.0894987056877228	0.928685582168708
FRMD5	0.00131401044236654	1.00131487413235	0.00255365870632345	0.514559928902303	0.606860572482959
GRIP2	-0.000501091860795551	0.999499033664763	0.00784272314050825	-0.0638925857534578	0.949055755929611
H19	1.23153337610356e-05	1.0000123154096	1.36819911869786e-05	0.900112680437651	0.368060288529328
HLA-DRB1	-4.99881805834783e-05	0.999950013068805	2.11426586960332e-05	-2.36432802998694	0.018062811157714
HSH2D	-0.00017148698397759	0.999828527719075	0.000223473940192885	-0.767369044594532	0.442862127913335
HSPA13	8.16607331528348e-05	1.00008166406748	9.70390395591274e-05	0.841524540265855	0.400054143090814
IER3	-2.8769137653911e-05	0.999971231276174	3.0879007817033e-05	-0.931672993652399	0.351505547383927
ING4	0.00011686688015726	1.00011687370936	0.000245492103635626	0.476051483638434	0.634037700074328
ITGB8	-5.45121675460338e-05	0.999945489318215	9.52352386117837e-05	-0.572394927976679	0.567054451240866
KRT15	-1.88874766518301e-05	0.999981112701715	1.19382702457459e-05	-1.58209491517923	0.113627904249443
KRT7	2.40736036668368e-06	1.00000240736326	8.26809635598095e-06	0.291162592093191	0.77092697088914
KRT80	0.000142360780062805	1.00014237091384	8.43207046178717e-05	1.68832531355094	0.0913487985891502
LARP4B	0.000139985978005564	1.0001399957765	8.99405268147887e-05	1.5564282639108	0.119606288604826
LMAN1	3.44461644401254e-05	1.00003444675772	3.80398038106771e-05	0.905529497774564	0.365184939991124
LMCD1	8.84329660718052e-05	1.00008843687638	0.000100021273520302	0.88414157268109	0.376619793840214
MACC1	0.000344697286993759	1.00034475670193	0.000130004129258371	2.65143337338696	0.00801509248639165
MAN2B2	-6.0645034752358e-05	0.999939356804121	0.000121307939804434	-0.499926343239583	0.617126942389821
MEIS3P1	-0.000505246691587753	0.999494880924029	0.000345332416563755	-1.46307345431174	0.143447280673167
MEX3C	-3.70230823447543e-05	0.999962977603001	0.000181417387020046	-0.204076813986211	0.838293472805441
MGAT2	-0.000177845700848547	0.999822170112761	0.000334560850922946	-0.531579532865031	0.595017243400881
MIER3	0.000213256414733593	1.0002132791555	0.000261149008828719	0.81660817205499	0.414152383467082
MMD	0.000478191706311178	1.00047830605819	0.000263994069809041	1.81137290946375	0.0700831465353021
MPPED2	-0.000741385825855222	0.999258888932711	0.000735176717828984	-1.00844573539349	0.313240526113331
NEBL	6.19160890419168e-05	1.00006191800588	4.06426410916126e-05	1.52342680935404	0.127651958959485
NPAS3	0.00147032267404569	1.00147140412839	0.000562384487898282	2.61444386480239	0.00893728454948717
NR1D2	0.000214414127100666	1.00021443711545	0.000139939164471031	1.53219527864948	0.12547425328234
NUFIP2	9.57751925259149e-05	1.00009577977912	2.74121297776415e-05	3.49389825974168	0.000476022389743758
OPTN	-0.000112409340859287	0.999887596976834	7.32790157999586e-05	-1.53399086535426	0.125031900042703
PAPD5	0.000329712021656358	1.00032976638264	0.000191468890275738	1.72201354058894	0.085067065653824
PDE4D	-0.00018545374600877	0.999814563449474	0.000292750553081067	-0.633487260935815	0.526415497214693
PKP3	5.23767649277038e-05	1.00005237813661	9.01303961156628e-05	0.581122098481511	0.561158165932591
PLCXD3	-0.00039224256903985	0.99960783434802	0.00133913301912786	-0.292907846671801	0.769592590999333
PMEPA1	4.36078307641813e-05	1.0000436087816	3.50514145908835e-05	1.24411043814258	0.213458919892281
PPARA	-0.000344224617378785	0.999655834621118	0.000321973585319584	-1.0691082532038	0.285020893170421
PPM1D	0.000266904543925866	1.00026694016611	0.000177483618593317	1.5038263589692	0.132626082289315
PSMB8	-0.000220097955994634	0.999779926263784	7.78371119668804e-05	-2.82767372058055	0.00468875679108693
PYGO1	0.000274087071206351	1.0002741246365	0.00426791727032666	0.0642203336770332	0.948794786880342
RAB27B	0.000229554997687335	1.00022958134745	0.000399765211720798	0.57422454720162	0.565815860297486
RAD54L	0.000152319157870528	1.00015233075902	0.000409433015721056	0.3720246096966	0.709874526432327
