NOTCH3 (pp) UBB	0.608093	0.718575	0.640248	0.778490	0.971051	0.029883	0.222753	0.029969	0.319931	0.024468	0.882615	0.831799
FKBP1A (pp) RYR3	0.467085	0.496563	0.018379	0.126387	0.249171	0.536019	0.130267	0.188184	0.263706	0.152176	0.322660	0.599117
RPL10L (pp) RPS20	0.138129	0.936438	0.796491	0.833615	0.846991	0.038595	0.232670	0.050388	0.279893	0.135833	0.251740	0.590827
ALG10 (pp) DDOST	0.855306	0.693803	0.271577	0.852700	0.934568	0.470404	0.057722	0.380510	0.688980	0.781039	0.556028	0.698728
FZD6 (pp) PDE6G	0.069461	0.305431	0.040040	0.923866	0.598867	0.106649	0.756725	0.483768	0.199016	0.359724	0.671869	0.386185
SOCS1 (pp) TLR2	0.073126	0.686845	0.530854	0.055040	0.819722	0.329637	0.605864	0.503014	0.565836	0.451051	0.603878	0.455815
GMNN (pp) PSMA5	0.721448	0.060398	0.968985	0.591505	0.970939	0.768391	0.076741	0.102388	0.834551	0.429189	0.951543	0.359409
DCTN3 (pp) DYNC2H1	0.661153	0.054647	0.694251	0.589533	0.509586	0.284559	0.678732	0.374356	0.725677	0.465081	0.305908	0.435390
RPS3A (pp) RPS8	0.921921	0.900190	0.554791	0.645859	0.998422	0.051406	0.854727	0.337942	0.743462	0.600682	0.666216	0.766156
EEF2 (pp) RPL27A	0.419766	0.664012	0.323070	0.277594	0.910889	0.017346	0.414547	0.860353	0.863182	0.866950	0.179701	0.676920
EIF5B (pp) RPL3	0.827392	0.858314	0.810027	0.921168	0.919679	0.650575	0.565095	0.964152	0.461191	0.576863	0.846865	0.989660
DDOST (pp) RPL10A	0.828957	0.626162	0.414955	0.620249	0.915992	0.581446	0.859545	0.895116	0.879008	0.850142	0.689863	0.898066
CENPK (pp) XPO1	0.954466	0.803186	0.661575	0.310700	0.752890	0.745478	0.837004	0.734560	0.977788	0.907290	0.311799	0.709619
BIN1 (pp) PICALM	0.450133	0.095392	0.411645	0.767385	0.281632	0.677068	0.945298	0.550998	0.358820	0.799784	0.567622	0.665528
